Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_5_[384, 256, 128];0.558013867073784;0.013124054808285181;0.41161705480668076;0.03361640778966388;0.4727601525955169;0.022538166251875446;0.5908752578282898;0.009339371130816409;0.566469453417209;0.00776582265511317;0.10488858222961425;0.011217884879950906
SVDD_RBF_0.0005_scale_5_[384, 256, 128];0.5312457408399072;0.006094496715375302;0.6079599484433558;0.023571806774701026;0.5667407954425061;0.009705410827044429;0.5910074885579117;0.007259069458370861;0.5600331868906261;0.005920137591060268;0.1671673536300659;0.005460300138163088
SVDD_RBF_0.001_scale_5_[384, 256, 128];0.5302693940597948;0.005880912142727519;0.6168846293274466;0.02126494040712222;0.5700822915450152;0.008561474626412843;0.591324530218496;0.007338673170865087;0.5595358670805848;0.005756683394803176;0.18476579189300538;0.006912465034706917
SVDD_RBF_0.005_scale_5_[384, 256, 128];0.5300990354034201;0.005889284323439642;0.6183978328512849;0.02096698377041802;0.5706388110166668;0.008568768147013949;0.5913368525075654;0.007296169571362035;0.5594480985940866;0.00584837716201764;0.19704070091247558;0.014568770414861622
SVDD_RBF_0.01_scale_5_[384, 256, 128];0.5303047684697793;0.005834450136757156;0.6187683938472992;0.021030467512712165;0.5709144848200453;0.008555972115663172;0.5913514721964582;0.007286745030762304;0.5596821471782156;0.005774852257104431;0.19879393577575682;0.015622979004376366
SVDD_RBF_0.05_scale_5_[384, 256, 128];0.5302608187304982;0.005892737389462669;0.61886105316593;0.020881653743599123;0.5709296171242866;0.008469190376846358;0.5913151313859595;0.007303280247756344;0.559638264004766;0.005825612875620069;0.20293667316436767;0.010818447579507093
SVDD_RBF_0.1_scale_5_[384, 256, 128];0.5304448253960552;0.005594099756218857;0.6168537556009878;0.02057963723559939;0.5701845590385781;0.008241599348364348;0.591456568751928;0.007184395878593428;0.5597260474684566;0.005457468120222352;0.2018582582473755;0.01150019154914997
SVDD_RBF_0.2_scale_5_[384, 256, 128];0.5358054622782753;0.004937923343113229;0.5741749668808249;0.0238004296326959;0.5540627623257561;0.010867746295667434;0.5912785843553034;0.006856022071362451;0.5625931249723457;0.004580130596137848;0.2364952802658081;0.011979222011155227
SVDD_RBF_0.3_scale_5_[384, 256, 128];0.5412667492946223;0.006330938714376261;0.5082738059028505;0.02772330348470389;0.5239088632083667;0.016090408428384374;0.5883416246130868;0.007402643279469545;0.563075709364759;0.00624307014526971;0.27781243324279786;0.004721649688214011
SVDD_RBF_0.4_scale_5_[384, 256, 128];0.552092348450006;0.00546405104898627;0.43953163279297003;0.02651006017410318;0.4889676043613903;0.01607776634606032;0.5856670275687075;0.006760981644076176;0.5655479773815297;0.004210228122793177;0.3432448148727417;0.007617584892177854
SVDD_RBF_0.5_scale_5_[384, 256, 128];0.5635551062015536;0.006005373759893113;0.36782553426897824;0.025990775407811192;0.44453053841251666;0.018500093093554285;0.5824586760629725;0.006165981362383318;0.5655040813704866;0.0036442844968144748;0.3935760498046875;0.01019334425441877
