;Parametros;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
0;SVDD_RBF_0.001_scale;0.5127373956450398;0.0035259069133041967;0.810818714398198;0.02652104517401096;0.6279986736730069;0.006381521643127899;0.5979717464650187;0.004329760137449531;0.5452444761333306;0.004705384133401054;0.488317608833313;0.03618099142262152
1;SVDD_RBF_0.01_scale;0.5124805314407135;0.003187670892090753;0.8115907291863124;0.026757810122823602;0.6280422594473954;0.00664675031745575;0.597969013959161;0.004443122703145447;0.5449080263458227;0.004294433602831314;0.5198642015457153;0.050994715883997635
2;SVDD_RBF_0.05_scale;0.512490362735057;0.003202683874098857;0.8115289435941404;0.02684959626262947;0.6280306897901441;0.006719528866746889;0.5979926933454495;0.004469763331967195;0.5449226505043078;0.004320452516367588;0.5434901952743529;0.04951300052169768
3;SVDD_RBF_0.1_scale;0.5142741587474637;0.0035564789691092664;0.8019866260890426;0.029263466493428907;0.626418703549241;0.007040011990255866;0.5987060498781043;0.004725435548451997;0.5472192638701424;0.004502844397282865;0.5762984037399292;0.036585400321519634
4;SVDD_RBF_0.2_scale;0.523216269725662;0.005303939054789054;0.7419224682352452;0.03079007056253905;0.6132908186898898;0.00807668587485924;0.6003642787410615;0.0050126397676007895;0.5572101615884998;0.005801646541445535;0.7358679533004759;0.040543252819295134
5;SVDD_RBF_0.3_scale;0.5337389934937471;0.0049034026141515676;0.6610749339094395;0.02890330314612453;0.5902594151298001;0.00983381079522428;0.6002596298368756;0.004574185842500895;0.5657090763411456;0.0044015483612861095;0.9784592866897583;0.03200470457731378
6;SVDD_RBF_0.4_scale;0.5447284834488922;0.0024762527047653363;0.570438692960123;0.031207332508035462;0.5568620932088709;0.014770055804101397;0.599000007301791;0.004450477611053204;0.5706679048953424;0.003048749123832905;1.215870690345764;0.03361882266086947
7;SVDD_RBF_0.5_scale;0.5545252290213748;0.0034993557196973967;0.4747365960067057;0.033091886113147714;0.5108830319686843;0.018602975395078592;0.5978592126303841;0.005017253740312025;0.5704630019274364;0.0032096379266978578;1.4623499870300294;0.03707101318046653
8;SVDD_RBF_0.6_scale;0.5643605360703667;0.006068142199066138;0.3835749486884006;0.033267387965627;0.455933237652571;0.02373099543244448;0.5968020273429284;0.005862755252381293;0.567771367254192;0.005387772013272422;1.7312527179718018;0.027985350559479448
9;SVDD_RBF_0.7_scale;0.5813528641090748;0.005710403791164717;0.2886769511708846;0.02736581607832457;0.3850091692087697;0.02418181973289332;0.5945400912252319;0.006040137056955223;0.5645532372002988;0.004145135393396372;1.992240381240845;0.03501752246808885
10;SVDD_RBF_0.8_scale;0.5961289395591278;0.004481233909373149;0.19285205535302552;0.023408485714628287;0.29061207561127433;0.026802903418047384;0.5924290321509769;0.005599974401194491;0.5557471787462858;0.003634742297595828;2.224556565284729;0.043449447725935
11;SVDD_RBF_0.9_scale;0.609355980064948;0.008526230538300433;0.09881811217937043;0.020773941274563928;0.16926726730505887;0.030551624024625062;0.5898257453945559;0.005484422272270282;0.5432840493843389;0.004512659897442693;2.464391016960144;0.05016500610895448
SVDD_RBF_0.0001_scale_;0.5239331859288561;0.0062455580622803875;0.7176180757945219;0.03563191833436699;0.6051369837554897;0.009943358492249546;0.5965487381385512;0.0066306760200656465;0.5569762435199037;0.006307669761851459;1.2411664247512817;0.27480094923537174
SVDD_RBF_0.0005_scale_;0.5128254207232059;0.0035097997878962973;0.8089968212838399;0.02655761072740041;0.6275165775264654;0.00644204755627501;0.5978067613742801;0.004605914310621915;0.5453322275030376;0.004636960006582458;1.9194682598114015;0.3888332616642104
SVDD_RBF_0.005_scale_;0.5124425792468228;0.003156351482599745;0.8114672152108501;0.026768372519917986;0.6279764057737951;0.006629348067805042;0.5979760191215271;0.0044257473302575755;0.544849519013888;0.004237157683979136;2.0741688013076782;0.636662678952942
SVDD_RBF_0.0001_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.5739318892498181;0.04026695306183115;0.5263157912754517;3.079310737632568e-05;0.21757588386535645;0.10245385663758037
SVDD_RBF_0.0005_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.5739318892498181;0.04026695306183115;0.5263157912754517;3.079310737632568e-05;0.12605676651000977;0.05145448420653825
SVDD_RBF_0.001_auto_;0.1;0.30000000000000004;3.088326127239037e-05;9.264978381717111e-05;6.174745291756716e-05;0.0001852423587527015;0.5757767859182122;0.03460725309937674;0.5263304197131345;5.765926825390104e-05;0.2197467565536499;0.07466458940203655
SVDD_RBF_0.005_auto_;0.5222576826808247;0.01639159230333377;0.6935590522471554;0.08179672704210969;0.5928749124734229;0.02313345218034825;0.5888027739042057;0.015504658998693154;0.5519295437784615;0.01813326727803123;0.3652782678604126;0.08930012902114952
SVDD_RBF_0.01_auto_;0.501957540549548;0.006683549468903023;0.8674551925736769;0.02549276331194458;0.6356918596727454;0.004424918219065064;0.5893110047851993;0.013252552732957746;0.5291245882448895;0.011364231241527932;0.6080271482467652;0.08360054412221071
SVDD_RBF_0.05_auto_;0.49635372065754363;0.0032847210513606766;0.9092067683446476;0.024689278507580844;0.6419931096954803;0.004612347059949343;0.5942513363223327;0.006191445843889947;0.5198357613929577;0.005941872726521541;0.8796173095703125;0.21285424014090493
SVDD_RBF_0.1_auto_;0.502087483845188;0.0029820895161633406;0.8707910519969617;0.024020384476740195;0.6367676894090499;0.004319716183947959;0.5963365971325026;0.003742562360047696;0.5295926490399663;0.004886522179012258;1.7180577278137208;0.2735568175320006
SVDD_RBF_0.2_auto_;0.5160304599647012;0.004190506768718058;0.7867935775783901;0.030073853581887147;0.6229633099228886;0.006979028529852953;0.5983580253892612;0.004844744263831281;0.5492232999239244;0.0051162008776146906;2.5285637378692627;0.43500335555039216
SVDD_RBF_0.3_auto_;0.5289997328542462;0.005411248104236038;0.6859653932033178;0.030214955991232827;0.5969498103420048;0.009414783940349676;0.598817905169504;0.0041614860094481235;0.5616863864938932;0.00512943622069014;3.475910758972168;0.6535591926677845
SVDD_RBF_0.4_auto_;0.5412497605968503;0.0034588773664851018;0.5900483052726947;0.031930405972921495;0.5641338329281245;0.013694456343126752;0.5980850153945619;0.004106274104969198;0.5688101981499659;0.0028618659675951627;2.3333107471466064;0.5315303404963995
