;Parametros;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
0;SVDD_RBF_0.001_scale;0.95;0.15;0.002767430267600209;0.00208555171299958;0.005510752669976157;0.004138659816229053;0.8545809903709065;0.010947589366498029;0.5217902720046672;0.0010977771565262504;0.7396707534790039;0.05974919599718681
1;SVDD_RBF_0.01_scale;1.0;0.0;0.004895882899417669;0.002659171017064768;0.009730152828143565;0.00525551373432423;0.8567341274125493;0.011109310362203377;0.5228618828848538;0.0012983866572527053;0.7865352869033814;0.06746010127910636
2;SVDD_RBF_0.05_scale;0.9909090909090909;0.027272727272727282;0.005215031835587882;0.0028340285701764388;0.010357957125819849;0.005593540987844111;0.8567827945874835;0.010823759655585031;0.5229639237011804;0.0012818702143163455;0.7843145132064819;0.06478938889772808
3;SVDD_RBF_0.1_scale;1.0;0.0;0.0050022658781410725;0.002609676152042175;0.009941343223024665;0.005157468175582448;0.8567305893104754;0.010895134875062369;0.5229129032930171;0.001270842641756982;0.7830790281295776;0.06280027559214835
4;SVDD_RBF_0.2_scale;0.9659090909090908;0.07690420143494832;0.005215031835587882;0.002711582129837201;0.010358624011336184;0.0053495400288011636;0.8567661804803041;0.010915782354766122;0.5229129032930171;0.001270842641756982;0.7841532945632934;0.06245514480412216
5;SVDD_RBF_0.3_scale;0.9909090909090909;0.027272727272727282;0.005108648856864477;0.0028080375072640344;0.010147659241103358;0.0055413886024545216;0.8567513614151165;0.010928964350446262;0.5229129032930171;0.001270842641756982;0.7894326686859131;0.06477709939135295
6;SVDD_RBF_0.4_scale;0.9909090909090909;0.027272727272727282;0.005108648856864477;0.0028080375072640344;0.010147659241103358;0.0055413886024545216;0.8567528197964887;0.01091535507501468;0.5229129032930171;0.001270842641756982;0.7867250919342041;0.06092138292267665
7;SVDD_RBF_0.5_scale;1.0;0.0;0.0050022658781410725;0.002609676152042175;0.009941343223024665;0.005157468175582448;0.8567493729959752;0.010915433663354646;0.5229129032930171;0.001270842641756982;0.7848557710647583;0.06382361767651397
8;SVDD_RBF_0.6_scale;1.0;0.0;0.0050022658781410725;0.002609676152042175;0.009941343223024665;0.005157468175582448;0.8567399828193121;0.0109252032844388;0.5229129032930171;0.001270842641756982;0.7849551916122437;0.06494702722384416
9;SVDD_RBF_0.7_scale;0.9659090909090908;0.07690420143494832;0.005215031835587882;0.002711582129837201;0.010358624011336184;0.0053495400288011636;0.856567252707169;0.010940925354528713;0.5229129032930171;0.001270842641756982;0.7855534315109253;0.06556235609858413
10;SVDD_RBF_0.8_scale;1.0;0.0;0.004789499920694265;0.0025306026254960745;0.009520734750390735;0.005004958904952827;0.8558007316787093;0.010836187730804664;0.5228108624766905;0.0012422246476888976;0.7838265657424927;0.06472894690691385
11;SVDD_RBF_0.9_scale;1.0;0.0;0.003299458455124284;0.001809751286006308;0.0065707335300400575;0.0035936009794564016;0.8549894817714547;0.010654730329775128;0.5220964204977551;0.000901781415493858;0.7850327491760254;0.06403818349974992
SVDD_RBF_0.0001_scale_;0.0;0.0;0.0;0.0;0.0;0.0;0.7872952274830581;0.05821162689196218;0.5205144232271776;0.00013014134333630642;0.2403292179107666;0.08730364835821733
SVDD_RBF_0.0005_scale_;0.05;0.15000000000000002;0.00010638297872340425;0.00031914893617021275;0.00021231422505307856;0.0006369426751592356;0.8517874759583666;0.017274549334924665;0.5205144232271776;0.00013014134333630642;0.8385442972183228;0.37153833983418494
SVDD_RBF_0.005_scale_;1.0;0.0;0.004470124396709945;0.0020643865493930606;0.008892064638646616;0.004086218182064384;0.8569480013177637;0.011074013471181188;0.5226577491639841;0.0010144336794700268;1.5161764860153197;0.32500052748850583
SVDD_RBF_0.0001_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.6563616554772272;0.10606592149880659;0.5205144232271776;0.00013014134333630642;0.06602256298065186;0.006206788943569242
SVDD_RBF_0.0005_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.6563616554772272;0.10606592149880659;0.5205144232271776;0.00013014134333630642;0.15497760772705077;0.09036537588744738
SVDD_RBF_0.001_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.6563616554772272;0.10606592149880659;0.5205144232271776;0.00013014134333630642;0.11590266227722168;0.04474808655335974
SVDD_RBF_0.005_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.6563616554772272;0.10606592149880659;0.5205144232271776;0.00013014134333630642;0.07426595687866211;0.03222536646735819
SVDD_RBF_0.01_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.6563616554772272;0.10606592149880659;0.5205144232271776;0.00013014134333630642;0.07461819648742676;0.010227392022548718
SVDD_RBF_0.05_auto_;0.5;0.5;0.0006386377540615867;0.0007058699665772807;0.001275466173668687;0.0014092876602189441;0.7142098987330187;0.08960357748504341;0.520820623808482;0.00038443916461352803;0.20865864753723146;0.05337672335183945
SVDD_RBF_0.1_auto_;0.84613448615609;0.13672813328595262;0.1230457933972311;0.06550086661010901;0.204163771752813;0.09345833919957026;0.7369462726971016;0.08687637586979353;0.5619509641528893;0.024121175790064314;0.22039897441864015;0.08728918686122479
SVDD_RBF_0.2_auto_;0.8725884777889427;0.0978954653525059;0.22269152334987422;0.23603288146439133;0.2871228568861037;0.2542802950539678;0.7798115438049782;0.05715725984096992;0.5989016939088039;0.0814250575698888;0.4242693901062012;0.18010195265497428
SVDD_RBF_0.3_auto_;0.9216060472343429;0.05084663963104335;0.1467422337026715;0.10701764010608567;0.23651813081205803;0.15182627536434298;0.7883469060544709;0.05503427188424349;0.5829713462720463;0.04442701503879114;0.5050163030624389;0.19121226697979476
SVDD_RBF_0.4_auto_;0.9184775066395255;0.060451758390139824;0.19654940747286606;0.1941559527916024;0.2774852775621442;0.24063115720875639;0.8127606281902787;0.03630489748493266;0.6014950880811742;0.07932662164199417;0.575422215461731;0.17835519123829774
SVDD_RBF_0.5_auto_;0.8738486286686354;0.05086771607568754;0.4303879183377518;0.07028232815887252;0.5720676511122076;0.0639611662624993;0.8238930132313955;0.03542781552018064;0.6956499567667802;0.028691224161454445;0.6275091886520385;0.17942166310977015
SVDD_RBF_0.6_auto_;0.8738510771371267;0.05901271889930669;0.4148792286950808;0.1931132361226007;0.5258865307582271;0.1970749492383422;0.831275152247018;0.025949290921160887;0.6837156608432041;0.0693044807376595;0.7877153158187866;0.27753487764298546
SVDD_RBF_0.7_auto_;0.7715581274585679;0.1179200569455049;0.6704266648539642;0.1823533136737934;0.6857149896185372;0.07086064358963591;0.837241220610783;0.021472757520942146;0.7175434155285391;0.05067108161500674;0.9906077146530151;0.364229066222258
SVDD_RBF_0.8_auto_;0.8258303248192735;0.09604796221789624;0.49063104706228905;0.3030056335388563;0.5352106960496517;0.2549673475336323;0.8435694698245012;0.012631497662687795;0.6818660082716088;0.08920765357859928;1.1737491846084596;0.2866946141132834
