Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_[2, 3];1.0;0.0;0.006279314798450139;0.0036397696118484926;0.012454287913444387;0.007181060298295197;0.8597697186934502;0.01187995232945674;0.5235252523674095;0.0017529860509027562;0.03193390369415283;0.0027809790232250207
SVDD_RBF_0.0005_scale_[2, 3];0.8999428159612426;0.013951450787241047;0.402623547005642;0.044160662959922346;0.5546471523247203;0.040482268244838235;0.8669606699090938;0.0079802074455755;0.6918258222124991;0.017100390243113144;0.06165833473205566;0.004335622239140562
SVDD_RBF_0.001_scale_[2, 3];0.8862566581600049;0.01237233363109696;0.46637799379149386;0.040583883992065;0.6098233190047196;0.032393778578175256;0.8672362752206677;0.006069856882441068;0.715147461741205;0.014436112867994108;0.0796238899230957;0.0036639728278534687
SVDD_RBF_0.005_scale_[2, 3];0.8827474390731516;0.014508381488100967;0.4804253053270795;0.041282591595991576;0.6207968064164464;0.031610911855895305;0.8682181766300883;0.005891250417279452;0.7198929847589879;0.013816981858035766;0.09062676429748535;0.005295090070707082
SVDD_RBF_0.01_scale_[2, 3];0.8839064380444741;0.014178575057708415;0.48117032605986454;0.04138154702125368;0.6217127918403638;0.03184825042923308;0.868012745675616;0.005968154671292472;0.7205564323738685;0.013982361934397971;0.08792831897735595;0.005139285598173511
SVDD_RBF_0.05_scale_[2, 3];0.8833793867040274;0.013743659479222275;0.4812770489203092;0.041927165180848394;0.6216523363264177;0.03236493760029442;0.867958850431161;0.00600291812343499;0.7204544436457584;0.01430250186283194;0.09013895988464356;0.006324540989304392
SVDD_RBF_0.1_scale_[2, 3];0.8833811528254811;0.013748075647371835;0.48127693562640206;0.0417875987410504;0.6216586977554861;0.03225393931910818;0.8679802472073052;0.00599074489587331;0.7204544176016502;0.014224438053614216;0.09144775867462158;0.00544187970385785
SVDD_RBF_0.2_scale_[2, 3];0.8840610801362601;0.013521798530753897;0.47893537715541656;0.042035333456900886;0.619851323727809;0.03266696694908703;0.8675361277608726;0.006428999264332159;0.7196888770822266;0.014433640602117208;0.08996529579162597;0.00531395557709377
SVDD_RBF_0.3_scale_[2, 3];0.8890625962729048;0.012416313041311225;0.45711621688985565;0.04610110229379756;0.6021641512674335;0.03823002496540431;0.8661846023139503;0.006759054530312313;0.7120849610901021;0.017401261215485905;0.0926506757736206;0.005492626933663071
SVDD_RBF_0.4_scale_[2, 3];0.8994196239651304;0.013583453864215847;0.4127362744431605;0.05054158106951467;0.5635976377525678;0.04564010050660986;0.8644736094061487;0.006682819114904461;0.6959083403652425;0.01903920923098903;0.1040156364440918;0.007033486482745643
SVDD_RBF_0.5_scale_[2, 3];0.913005491962991;0.014809384504044433;0.34994233340130965;0.0591429564455629;0.502499094595467;0.061078228264611054;0.8626636847043896;0.007336655638577322;0.671821837463929;0.02317278237766414;0.1116995096206665;0.0030492599555035776
SVDD_RBF_0.6_scale_[2, 3];0.9187244148631366;0.01269178472737698;0.2891684227222259;0.05998830343343113;0.436063314959456;0.06933668785899877;0.8599882268748253;0.008409062549930952;0.6465610057192863;0.024906416754222362;0.12063479423522949;0.002551255048474444
SVDD_RBF_0.7_scale_[2, 3];0.9267529434842693;0.012765385652297796;0.22169431037998777;0.054988099277199914;0.3541361338204415;0.07208945970857834;0.8567544446754752;0.009276573702040877;0.6181881895177672;0.02367769517633166;0.18421766757965088;0.05244939091897922
SVDD_RBF_0.8_scale_[2, 3];0.9340479123457568;0.014186913589398347;0.14027054585004423;0.04179535717840501;0.24140199416647543;0.06462591622918425;0.8526944272282135;0.00896396532118222;0.5830266639580793;0.0186527129937464;0.21820375919342042;0.10055848957830052
SVDD_RBF_0.9_scale_[2, 3];0.9413117595099507;0.008192276022080622;0.07353839530510049;0.034259365304544896;0.13445007659390065;0.05821304458956399;0.845305705836591;0.011074690803107448;0.553581637861883;0.0153261756306991;0.24424417018890382;0.11802240123750671
SVDD_RBF_0.0001_auto_[2, 3];0.0;0.0;0.0;0.0;0.0;0.0;0.7081765816606932;0.06097874982464899;0.5205144232271776;0.00013014134333630642;0.017639708518981934;0.000261571674387382
SVDD_RBF_0.0005_auto_[2, 3];0.0;0.0;0.0;0.0;0.0;0.0;0.7081765816606932;0.06097874982464899;0.5205144232271776;0.00013014134333630642;0.01757082939147949;0.00012820745776275983
SVDD_RBF_0.001_auto_[2, 3];0.0;0.0;0.0;0.0;0.0;0.0;0.7081765816606932;0.06097874982464899;0.5205144232271776;0.00013014134333630642;0.017633819580078126;0.00035952902277560647
SVDD_RBF_0.005_auto_[2, 3];0.0;0.0;0.0;0.0;0.0;0.0;0.7468981167886908;0.06303913115191277;0.5205144232271776;0.00013014134333630642;0.01893329620361328;0.0016078356240389732
SVDD_RBF_0.01_auto_[2, 3];0.3;0.45825756949558394;0.0008518568871366098;0.001636012068986964;0.0016969415875646176;0.003255868606269885;0.7958757450185113;0.04638893056844959;0.5209227688012418;0.0008572930584687298;0.021413445472717285;0.0019073680794737802
SVDD_RBF_0.05_auto_[2, 3];0.8468396679178529;0.028220777924026434;0.5985694378356332;0.061345624708318613;0.6984301345871387;0.034609286460076646;0.8662567376552959;0.011520636882206734;0.7542376629058974;0.01599923728616319;0.05325405597686768;0.02681112573995371
SVDD_RBF_0.1_auto_[2, 3];0.8211173605798454;0.023922329863099983;0.6808297645752612;0.04475281573575752;0.7428382502234091;0.020504996350220475;0.8686162620963461;0.007867682678040272;0.7748525643029034;0.010022766643839049;0.10861883163452149;0.0694589862434649
SVDD_RBF_0.2_auto_[2, 3];0.8232106145709827;0.025874022757001867;0.6658204744748828;0.05169345497008171;0.7341579127808122;0.022459236565506406;0.8642285254731353;0.008684444697930876;0.7699529122521903;0.01049135369637494;0.05996840000152588;0.006620547510536243
