Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.001_scale_;0.9882250967453572;0.004526979654804253;0.7296666666666666;0.02495012858331058;0.8392233250911634;0.01640590466860018;0.9764411481481481;0.0035505829060690727;0.8678070175438597;0.01137493045176077;0.49179060459136964;0.08718467140917606
SVDD_RBF_0.01_scale_;0.987949506090523;0.004329928913900877;0.7344444444444445;0.023700810008557265;0.8423049276319603;0.015471158822211109;0.9763340493827162;0.0035460107468872457;0.8699473684210526;0.0108161985381018;0.5240995407104492;0.03777268241945653
SVDD_RBF_0.05_scale_;0.9879019904032897;0.004420777180245204;0.7343703703703703;0.02379369491473473;0.8422361601999226;0.015513072277919778;0.9763405679012344;0.003537572892079172;0.8698947368421053;0.010841537485843074;0.5285584211349488;0.10370576406841057
SVDD_RBF_0.1_scale_;0.989286291551722;0.003594850557263154;0.7294814814814815;0.02346652169801836;0.8395221632162728;0.015516591770824638;0.9771486666666668;0.002997776915888375;0.8681052631578947;0.010839720398584227;0.5470202207565308;0.055475811135739315
SVDD_RBF_0.2_scale_;0.9951604749927572;0.0016290122301245453;0.6844444444444444;0.02927706912254086;0.8106947997968922;0.020925318906929117;0.9801116913580247;0.001564151333810686;0.8489473684210527;0.013769638875268653;0.5524635553359986;0.1301232796020588
SVDD_RBF_0.3_scale_;0.9984407221184537;0.0009637299554610334;0.616037037037037;0.026586324444388264;0.7616130976048592;0.020500469175324373;0.9809889135802468;0.0009967380479184618;0.8176666666666665;0.012576157658796676;0.4685818195343018;0.018307103012988667
SVDD_RBF_0.4_scale_;0.999796939846956;0.0003103218780505182;0.5355925925925925;0.023841296261055255;0.6972046997874578;0.020314701414300505;0.9815919135802469;0.0008021846281027749;0.7799649122807019;0.011267966399922445;0.8886098146438599;0.19741456879645156
SVDD_RBF_0.5_scale_;1.0;0.0;0.4582592592592592;0.022497706025415908;0.6281745745199883;0.021210203592399005;0.9818828148148148;0.0005681949664422117;0.7433859649122806;0.010656808117302288;1.1197495460510254;0.11634356558758238
SVDD_RBF_0.6_scale_;1.0;0.0;0.37148148148148147;0.02533452455505583;0.5412289354868953;0.02674673466716281;0.9819556296296297;0.0006085208158273656;0.702280701754386;0.01200056426292118;1.3072639226913452;0.20645913915433203
SVDD_RBF_0.7_scale_;1.0;0.0;0.27311111111111114;0.022038873250608305;0.42857298258401144;0.02728067752242468;0.9819568148148148;0.0006674899393117714;0.6556842105263158;0.010439466276603927;1.5228241682052612;0.17819831841492378
SVDD_RBF_0.8_scale_;1.0;0.0;0.18725925925925926;0.024375998449530693;0.3147551780274403;0.03375584351650388;0.9818895925925926;0.0006385882540714838;0.615017543859649;0.011546525581356654;1.7162807703018188;0.16674730701990073
SVDD_RBF_0.9_scale_;1.0;0.0;0.09196296296296297;0.02104411070432953;0.16775610014381476;0.035288242833825596;0.9818217901234568;0.000597110234180784;0.5698771929824561;0.009968262965208719;1.7478307247161866;0.10415046117066358
SVDD_RBF_0.0001_scale_;0.9938057705683502;0.0025204875785154192;0.47059259259259256;0.040344606117774344;0.6377032623582899;0.03750991337988633;0.973296012345679;0.004196103936492378;0.7478421052631579;0.019047017039688613;0.3688068866729736;0.14442426167881314
SVDD_RBF_0.0005_scale_;0.9887809225448161;0.004310848877147596;0.7192962962962963;0.023607123846337064;0.8325493019362249;0.01596416718060403;0.9762662716049382;0.003642037023457016;0.8631578947368421;0.011032005259384628;0.5612335920333862;0.2626243239697158
SVDD_RBF_0.005_scale_;0.9878523069637388;0.004522060898847524;0.7343333333333334;0.023888774045087137;0.8421920766977852;0.015592557639781502;0.976344098765432;0.003537500145839826;0.869859649122807;0.010902291360526839;0.8964147806167603;0.3509653298209273
SVDD_RBF_0.0001_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.8818328395061729;0.14751846077528993;0.5263157894736842;0.0;0.09733793735504151;0.03196440767285649
SVDD_RBF_0.0005_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.8818328395061729;0.14751846077528993;0.5263157894736842;0.0;0.11233539581298828;0.04780229447200917
SVDD_RBF_0.001_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.8818328395061729;0.14751846077528993;0.5263157894736842;0.0;0.18868722915649414;0.07352562018972433
SVDD_RBF_0.005_auto_;0.8681187724260587;0.299414111547593;0.08081481481481481;0.07089488731926283;0.14150291615773347;0.12028979192372038;0.940905950617284;0.03827901043397409;0.5641578947368421;0.03343493748504873;0.2435122013092041;0.11878248156729357
SVDD_RBF_0.01_auto_;0.9723468599717187;0.0204767717134573;0.3706666666666667;0.11731563184842211;0.5259745709786405;0.1289826217936068;0.9407279876543209;0.030078629462815903;0.6972456140350877;0.05508112878221031;0.2941171169281006;0.05669832961734997
SVDD_RBF_0.05_auto_;0.9347133408420991;0.02805390544884409;0.8540740740740741;0.02430205442155804;0.8919867727022849;0.012457719900942136;0.9648327160493828;0.00934090897692324;0.9020350877192982;0.011459565324518238;0.3348090410232544;0.12018055599100314
SVDD_RBF_0.1_auto_;0.9693123047095522;0.01230618638047653;0.8331481481481482;0.020800344251662155;0.8958348134672525;0.010078847780926568;0.974405901234568;0.00374045983494854;0.9083333333333334;0.007905742815670663;0.33223605155944824;0.0822493321136199
SVDD_RBF_0.2_auto_;0.9918592505785497;0.0020111371166483347;0.747037037037037;0.02927472633851231;0.8518778223179261;0.019299246362973654;0.9794754197530864;0.0017940659935065419;0.8772631578947369;0.013610055486354336;0.6375910758972168;0.13843914514823005
SVDD_RBF_0.3_auto_;0.9967139065274846;0.0013206000935205432;0.6606296296296297;0.026417586734766085;0.794285853905898;0.019119727949218717;0.9804045925925926;0.001083014474970188;0.8382105263157895;0.012413269441742687;0.8195498943328857;0.15090928395305983
SVDD_RBF_0.4_auto_;0.9993036346927932;0.0005931023286665964;0.5741481481481482;0.026381603932723655;0.72892409594158;0.021278418435555783;0.981196049382716;0.0008668069810089489;0.7980877192982456;0.012418884239313178;1.3480008840560913;0.37195609255982026
SVDD_RBF_0.5_auto_;1.0;0.0;0.48677777777777786;0.020808783889705088;0.6545454986667109;0.01883290425370343;0.981611049382716;0.0005808571659615792;0.7568947368421053;0.009856792368807678;1.8070424318313598;0.31205728112826875
SVDD_RBF_0.6_auto_;1.0;0.0;0.3940370370370371;0.02654212171183205;0.5648017797827006;0.02711012013915223;0.9817190740740742;0.0006674020755188631;0.7129649122807018;0.012572583968762551;1.8718409299850465;0.7415917948846847
SVDD_RBF_0.7_auto_;1.0;0.0;0.28822222222222227;0.02819236293478013;0.4467233948509389;0.034246600256730236;0.9817440493827162;0.0006648767851718076;0.6628421052631579;0.013354277179632714;1.7622478485107422;0.35095557388280557
SVDD_RBF_0.8_auto_;1.0;0.0;0.19737037037037036;0.027320407462612682;0.3288254563854809;0.03716341547827453;0.9817271851851853;0.0006362261798032854;0.6198070175438596;0.012941245640184965;1.6327774286270142;0.1111047424737386
SVDD_RBF_0.9_auto_;1.0;0.0;0.098;0.021021381759619807;0.17783943276048683;0.03484238381725961;0.9816665432098766;0.0006101351253686705;0.5727368421052632;0.009957496622977825;1.968195652961731;0.11250826318891247
SVDD_linear_0.0001_scale_;0.9386796959932294;0.036017494742483856;0.7901111111111111;0.05015286645564161;0.8563343705820085;0.028553492872018263;0.9583362098765432;0.015605095613370106;0.8751052631578947;0.021719900510313125;0.10113260746002198;0.020035918954197564
SVDD_linear_0.0005_scale_;0.9272414457648491;0.03545928665679603;0.8677037037037036;0.01637757508627106;0.8958824498580636;0.013797796289279433;0.9646028888888889;0.010442794311639393;0.9042280701754386;0.014759058024911436;0.1484379529953003;0.03886838826107295
SVDD_linear_0.001_scale_;0.9267716023855084;0.03635072657290633;0.8696666666666667;0.01682023896850088;0.8966724901657045;0.014141437948747816;0.9647141481481482;0.010621906195429742;0.9048070175438596;0.015179687063758836;0.13811237812042237;0.027117092226091696
SVDD_linear_0.005_scale_;0.9268732310682424;0.03575952276508613;0.8709629629629629;0.01615782924207911;0.8974401362094071;0.013970786042285101;0.9649202222222222;0.010467175008086029;0.9054561403508773;0.01497580895314738;0.15083703994750977;0.06187161398126151
SVDD_linear_0.01_scale_;0.9270164548588277;0.035963617272806135;0.8711481481481481;0.016301724685112012;0.8975992876028732;0.014111465946127775;0.9649053580246914;0.010498750644450277;0.9055964912280702;0.01511288191424025;0.1268007278442383;0.0332760182406253
SVDD_linear_0.05_scale_;0.9312285987753526;0.03015557762111854;0.8697037037037036;0.016238787415791038;0.8989323041913115;0.011190179187045039;0.9661643209876543;0.008558448464641962;0.9072280701754387;0.011660478506595266;0.1746410608291626;0.05395620893461256
SVDD_linear_0.1_scale_;0.9675203655167103;0.01269687332926992;0.8375925925925924;0.020072741516520002;0.897641892364071;0.009853758646805414;0.9745453703703705;0.0036478964769784787;0.9096140350877194;0.007841065121961756;0.17788248062133788;0.029809836793894137
SVDD_linear_0.2_scale_;0.9916444911276511;0.002162929629821149;0.7498518518518519;0.028879960633634436;0.8536375105351549;0.019041794248533868;0.9794328765432099;0.0017951978195308563;0.8785087719298247;0.013447171008267027;0.21397583484649657;0.04062580997115121
SVDD_linear_0.3_scale_;0.9967215389014505;0.0012924952682990577;0.6622222222222222;0.025719815635492634;0.7954555091282121;0.01860807460695125;0.9804038148148149;0.0010619619000332866;0.8389649122807017;0.012080944298485979;0.2562434673309326;0.039595534920491594
SVDD_linear_0.4_scale_;0.9993068426108727;0.000705798718867751;0.5752222222222222;0.025942032034193072;0.7298024848949265;0.020898388362850268;0.9812076790123457;0.0009029096183988254;0.7985964912280703;0.012198471565146994;0.3591840505599976;0.03159797821042772
SVDD_linear_0.5_scale_;1.0;0.0;0.4883333333333334;0.021939091392729697;0.6559227358307494;0.019829448005073066;0.9816120987654321;0.0005897151048536186;0.7576315789473684;0.010392201186029865;0.4316490411758423;0.0767310684524549
SVDD_linear_0.6_scale_;1.0;0.0;0.39374074074074067;0.026598395116452407;0.5644937067936532;0.027208582471101778;0.9817123703703704;0.0006622147530903706;0.7128245614035087;0.012599239792003768;0.4711893558502197;0.036979707991611106
SVDD_linear_0.7_scale_;1.0;0.0;0.2889259259259259;0.02676138015432052;0.4476475895615521;0.032409295191355054;0.9817381481481482;0.0006751216320834428;0.6631754385964912;0.012676443230993931;0.48152639865875246;0.06847662003589924
SVDD_linear_0.8_scale_;1.0;0.0;0.1965925925925926;0.025786822593695757;0.3278299334219656;0.035159973670902504;0.9817115802469136;0.0006344971541482058;0.6194385964912279;0.012214810702276962;0.49783663749694823;0.143436358586212
SVDD_linear_0.9_scale_;1.0;0.0;0.09737037037037037;0.020395573634205844;0.1768322578412834;0.03384854940151133;0.9816676296296295;0.0006044337901505985;0.5724385964912281;0.009661061195150152;0.39491562843322753;0.0022920101872947623
SVDD_linear_0.0001_auto_;0.9386796959932294;0.036017494742483856;0.7901111111111111;0.05015286645564161;0.8563343705820085;0.028553492872018263;0.9583362098765432;0.015605095613370106;0.8751052631578947;0.021719900510313125;0.06349880695343017;0.0018075069665277376
SVDD_linear_0.0005_auto_;0.9272414457648491;0.03545928665679603;0.8677037037037036;0.01637757508627106;0.8958824498580636;0.013797796289279433;0.9646028888888889;0.010442794311639393;0.9042280701754386;0.014759058024911436;0.07643134593963623;0.005604878213979365
SVDD_linear_0.001_auto_;0.9267716023855084;0.03635072657290633;0.8696666666666667;0.01682023896850088;0.8966724901657045;0.014141437948747816;0.9647141481481482;0.010621906195429742;0.9048070175438596;0.015179687063758836;0.080780029296875;0.005967872210680989
SVDD_linear_0.005_auto_;0.9268732310682424;0.03575952276508613;0.8709629629629629;0.01615782924207911;0.8974401362094071;0.013970786042285101;0.9649202222222222;0.010467175008086029;0.9054561403508773;0.01497580895314738;0.08553831577301026;0.006467784870400548
SVDD_linear_0.01_auto_;0.9270164548588277;0.035963617272806135;0.8711481481481481;0.016301724685112012;0.8975992876028732;0.014111465946127775;0.9649053580246914;0.010498750644450277;0.9055964912280702;0.01511288191424025;0.08666458129882812;0.006941470540999657
SVDD_linear_0.05_auto_;0.9312285987753526;0.03015557762111854;0.8697037037037036;0.016238787415791038;0.8989323041913115;0.011190179187045039;0.9661643209876543;0.008558448464641962;0.9072280701754387;0.011660478506595266;0.08598482608795166;0.006027810416796672
