Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_5_[384, 256, 128];0.475;0.4802343178074637;0.0005925925925925927;0.0009827036415867851;0.0011824771071524175;0.0019590532109426432;0.7228680000000001;0.033542444232404704;0.526578947368421;0.0004591667483615057;0.041985940933227536;0.004202244709354017
SVDD_RBF_0.0005_scale_5_[384, 256, 128];0.9486601394933064;0.021639496924333583;0.07444444444444444;0.017596295906514806;0.13755879843022484;0.030187353113687115;0.7351779753086418;0.01706332473783095;0.5597017543859649;0.008159705514936756;0.07594132423400879;0.006883966388911101
SVDD_RBF_0.001_scale_5_[384, 256, 128];0.9446737605797411;0.022512031477419824;0.08262962962962962;0.01796006085758705;0.1514684763785754;0.03039269214906776;0.735444925925926;0.017552152203357315;0.5632105263157896;0.008372318780394223;0.09205412864685059;0.010883151735481798
SVDD_RBF_0.005_scale_5_[384, 256, 128];0.9436092321028025;0.02117224963115482;0.08611111111111111;0.01901861769240975;0.15727514367714102;0.03195383302900398;0.735577024691358;0.01717264266073248;0.5647368421052631;0.008890773884465675;0.10824260711669922;0.010624167456510621
SVDD_RBF_0.01_scale_5_[384, 256, 128];0.9437276458234736;0.0208581244095254;0.08614814814814815;0.018899924154847418;0.15734406674922907;0.031745064164558565;0.7356398024691357;0.01728201647019306;0.5647543859649122;0.008822119574269127;0.10258567333221436;0.0114919645015176
SVDD_RBF_0.05_scale_5_[384, 256, 128];0.9437306628346646;0.02086650487690891;0.08614814814814815;0.018879591030422097;0.1573452983228381;0.0317127398412736;0.7356472345679013;0.017278311274911265;0.5647543859649125;0.0088137424523999;0.10151898860931396;0.012012150141494099
SVDD_RBF_0.1_scale_5_[384, 256, 128];0.9437821378922588;0.02087655974193946;0.08625925925925926;0.019007940005817205;0.15752566442956803;0.031911142947661966;0.7356598641975309;0.01726173251830345;0.5648070175438598;0.008874210718808171;0.10860085487365723;0.018093545251771096
SVDD_RBF_0.2_scale_5_[384, 256, 128];0.9452733585003917;0.022977114540957935;0.08448148148148148;0.018243476012251673;0.15460029044484652;0.030868206826946604;0.7362055802469136;0.016395280246461363;0.5640877192982456;0.008587553534948411;0.10232236385345458;0.010675238136609814
SVDD_RBF_0.3_scale_5_[384, 256, 128];0.95323413356569;0.01900067425446944;0.07814814814814815;0.016029807625492203;0.14404425653871122;0.027530567310070107;0.7390087283950617;0.014286189295001823;0.5615438596491228;0.007460081517728491;0.1062772274017334;0.009676808941572192
SVDD_RBF_0.4_scale_5_[384, 256, 128];0.9587405474929384;0.01683646949155013;0.0664074074074074;0.014986093233321526;0.12384050157436996;0.026253846057687238;0.7419500617283951;0.013719304790443648;0.5564385964912282;0.006975774816281908;0.1804734230041504;0.048543240933340864
SVDD_RBF_0.5_scale_5_[384, 256, 128];0.9726519276099068;0.015903351480492982;0.05285185185185185;0.011703996714569353;0.1000133795870151;0.02101754515578146;0.7447190864197532;0.013040983561284587;0.5506315789473685;0.005416025603090639;0.14768543243408203;0.019757794823480328
SVDD_RBF_0.6_scale_5_[384, 256, 128];0.9813932401948164;0.01464542279658053;0.03977777777777778;0.008547775844000982;0.0763237187290641;0.01575144525089791;0.7468346790123457;0.013383556389434486;0.5447894736842105;0.004004498855079426;0.19125373363494874;0.03667846076607529
SVDD_RBF_0.7_scale_5_[384, 256, 128];0.9914485893672538;0.01309595100092704;0.02714814814814815;0.004991213129570916;0.05280454684812612;0.009465080707000995;0.7495444814814815;0.014229753238950652;0.5390701754385965;0.0024081144245163225;0.2004324197769165;0.06939603731402294
SVDD_RBF_0.8_scale_5_[384, 256, 128];0.9970588235294118;0.008823529411764707;0.016962962962962964;0.0033242675070099077;0.033338225036517566;0.006405005884746582;0.7537246049382718;0.014668786597950442;0.5343333333333333;0.0016003423764184347;0.2312849521636963;0.05741063873257893
SVDD_RBF_0.9_scale_5_[384, 256, 128];0.9956521739130434;0.013043478260869556;0.007000000000000001;0.0028422155619184696;0.01388626200913591;0.005606795895142489;0.7590634320987655;0.014014685776840077;0.5296140350877193;0.0013402406494585472;0.19853665828704833;0.029552190356249494
SVDD_RBF_0.0001_auto_5_[384, 256, 128];0.0;0.0;0.0;0.0;0.0;0.0;0.7582422592592593;0.031556809078835485;0.5263157894736842;0.0;0.04585652351379395;0.012025877854459185
SVDD_RBF_0.0005_auto_5_[384, 256, 128];0.0;0.0;0.0;0.0;0.0;0.0;0.7582422592592593;0.031556809078835485;0.5263157894736842;0.0;0.04186713695526123;0.013947683618759614
SVDD_RBF_0.001_auto_5_[384, 256, 128];0.0;0.0;0.0;0.0;0.0;0.0;0.7582422592592593;0.031556809078835485;0.5263157894736842;0.0;0.051908278465271;0.01722942632083477
SVDD_RBF_0.005_auto_5_[384, 256, 128];0.3;0.45825756949558405;0.00022222222222222223;0.00044444444444444447;0.00044395128694391074;0.0008876287918664962;0.6704016666666666;0.05192942983784627;0.5264210526315789;0.0002105263157894962;0.05558757781982422;0.02343189175182814
SVDD_RBF_0.01_auto_5_[384, 256, 128];0.8684707237593914;0.05448387874251986;0.13596296296296295;0.08444045637106443;0.22530307549276105;0.11934412948038856;0.702923987654321;0.05140695989629967;0.5813859649122806;0.0339697736480387;0.04120290279388428;0.00571876427133085
SVDD_RBF_0.05_auto_5_[384, 256, 128];0.8285803033037231;0.047292919664440394;0.2638888888888889;0.04597287027255743;0.39808596195702467;0.05354456880745338;0.7192445555555557;0.0320000677898254;0.6252105263157895;0.02049390904115199;0.07841603755950928;0.032878788646706555
SVDD_RBF_0.1_auto_5_[384, 256, 128];0.8586343706704855;0.045257979904775064;0.23503703703703702;0.03866929180814873;0.36717877019633527;0.046575044344929886;0.724420111111111;0.02395304724744851;0.6189298245614034;0.016088484552003488;0.06746609210968017;0.025033643623703986
SVDD_RBF_0.2_auto_5_[384, 256, 128];0.8964279336310021;0.027930253666474798;0.17925925925925928;0.031199169909115095;0.2975570414990307;0.044694228368866704;0.7321730864197532;0.018741195610950424;0.6014385964912281;0.014175134615465703;0.11086914539337159;0.033505458055927556
SVDD_RBF_0.3_auto_5_[384, 256, 128];0.9192651764204394;0.018817720649730127;0.14014814814814813;0.030805019810768476;0.241828037941518;0.04660045020450906;0.7361697407407408;0.013822110660263044;0.5868070175438597;0.013327976763353618;0.14789094924926757;0.04447506250497803
SVDD_RBF_0.4_auto_5_[384, 256, 128];0.9398259217102177;0.015382968807624157;0.10137037037037037;0.0217196566322989;0.18232254170127923;0.03537325397544295;0.736899864197531;0.0132095521229864;0.5713333333333334;0.010140957912990465;0.18650400638580322;0.046391465409808555
SVDD_RBF_0.5_auto_5_[384, 256, 128];0.9575064542531694;0.01948204706408504;0.07455555555555556;0.018201772626559514;0.13778014911575204;0.03143743643051765;0.7409499012345678;0.0133365210414181;0.5600350877192983;0.008326885779057496;0.17335400581359864;0.04951036024733355
