Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_[2, 3];0.49096125652701045;0.08960096580143312;0.8151481481481481;0.1290664432623989;0.6029257623657839;0.05936088828839983;0.5194457160493828;0.14156858300757372;0.4911052631578948;0.09192446917573689;0.045636558532714845;0.021934087531606642
SVDD_RBF_0.0005_scale_[2, 3];0.4686138046732851;0.028006440861331302;0.8875185185185186;0.07366033527714416;0.6131928718643469;0.04105675906935016;0.4285228518518519;0.08124353051301579;0.47107017543859653;0.047464778537358546;0.06341373920440674;0.017894190730036487
SVDD_RBF_0.001_scale_[2, 3];0.4757810366355278;0.025942002772806384;0.9157777777777779;0.06377713252996609;0.6261177702897146;0.03691265299144128;0.4207274444444444;0.08510149037836147;0.4827719298245614;0.04549585229641582;0.04481384754180908;0.01306557738494484
SVDD_RBF_0.005_scale_[2, 3];0.4879998435811638;0.014523755780777508;0.9612962962962962;0.01361558253588493;0.6473159404419121;0.015473554575101148;0.4287924444444444;0.09034247315915209;0.5034561403508773;0.026840620300628268;0.04591984748840332;0.025450161232358815
SVDD_RBF_0.01_scale_[2, 3];0.488388482283733;0.014345220563877124;0.9628148148148148;0.015107479592683474;0.6479957539487993;0.015354376636658855;0.4305121975308642;0.09173043687171066;0.5041754385964913;0.0265003818273624;0.0221541166305542;0.0007465589165628742
SVDD_RBF_0.05_scale_[2, 3];0.49374127917478194;0.02837952872538343;0.9225185185185186;0.0312100718856209;0.6430060131624897;0.029884044604629924;0.4758261975308641;0.06406839089417601;0.5137543859649122;0.04782999286967545;0.02653841972351074;0.0006824461423522816
SVDD_RBF_0.1_scale_[2, 3];0.5150900268629639;0.03255501189941354;0.8868888888888888;0.029696775769158447;0.6513738233962066;0.03202068914281753;0.5580948518518519;0.1201565082925867;0.5489649122807018;0.051021480216876136;0.03330140113830567;0.0018663899887130918
SVDD_RBF_0.2_scale_[2, 3];0.5772691322361696;0.05285666799072588;0.7908888888888889;0.04295376657640324;0.665647211438382;0.038309889637815814;0.6814891481481482;0.0786305860479167;0.6215438596491228;0.057716141331040666;0.056630825996398924;0.006653941058086631
SVDD_RBF_0.3_scale_[2, 3];0.6384194150130461;0.06839240871683679;0.6985925925925927;0.04241243702989507;0.665641726770714;0.05020258414971993;0.7078195925925926;0.0706140193500565;0.6651929824561404;0.06356633041613383;0.07747485637664794;0.018013395829058296
SVDD_RBF_0.4_scale_[2, 3];0.6832519814691412;0.07773955878608997;0.586037037037037;0.030032013097686064;0.6292407927058292;0.04567590900797101;0.6931120987654321;0.06788085121376917;0.6703859649122808;0.05698167832845688;0.12342591285705566;0.032189243340272324
SVDD_RBF_0.5_scale_[2, 3];0.7118728930367831;0.10046018979854464;0.49114814814814817;0.028473967125093032;0.5793916239239674;0.051798057339909054;0.6788115308641975;0.07823778960000266;0.6590175438596491;0.0607582740623531;0.11027004718780517;0.0292682080488259
SVDD_RBF_0.6_scale_[2, 3];0.7207209684866124;0.1092032939061157;0.3955925925925926;0.03192345526231104;0.508286461562645;0.04842662982194066;0.6642898395061729;0.07746838587793144;0.6350350877192982;0.05444032653819886;0.10664989948272705;0.011229962071985148
SVDD_RBF_0.7_scale_[2, 3];0.7283892758959064;0.11701784536964605;0.2970740740740741;0.037785202610958246;0.4196528325023616;0.05109332103175735;0.6551174567901235;0.07560680263547077;0.6101052631578947;0.044725502518828245;0.19997692108154297;0.06382253228902637
SVDD_RBF_0.8_scale_[2, 3];0.7153027539120524;0.12404799340487643;0.20451851851851854;0.03387089180085844;0.3153029735220108;0.04646298889153999;0.6445373086419752;0.07541527608952851;0.580140350877193;0.03486171070816146;0.1692824125289917;0.0674934032859001
SVDD_RBF_0.9_scale_[2, 3];0.7207250529827058;0.14758129351469051;0.10137037037037037;0.020064402480851007;0.1754845680800701;0.0312224458680144;0.5023067777777778;0.06923826717626065;0.5506842105263157;0.022699401976874315;0.17695703506469726;0.04048735872346672
SVDD_RBF_0.0001_auto_[2, 3];0.3947053516239059;0.13355416254182842;0.752074074074074;0.2632150695524597;0.5174192310864952;0.17667936323895772;0.2390504074074074;0.12122107806883109;0.4284210526315789;0.049104131788424724;0.03221807479858398;0.009863892874486345
SVDD_RBF_0.0005_auto_[2, 3];0.4792848679661869;0.005924437670359935;0.9837037037037039;0.013980193710623512;0.6445074951437331;0.007199683275417626;0.33031844444444436;0.10244292645366392;0.4859649122807018;0.011685843624346541;0.05101475715637207;0.016663721677334844
SVDD_RBF_0.001_auto_[2, 3];0.4792848679661869;0.005924437670359935;0.9837037037037039;0.013980193710623512;0.6445074951437331;0.007199683275417626;0.33031844444444436;0.10244292645366392;0.4859649122807018;0.011685843624346541;0.054424190521240236;0.015826475948794997
SVDD_RBF_0.005_auto_[2, 3];0.47917729344271026;0.006021064471760974;0.9835555555555555;0.014410406238413413;0.6443778105500643;0.007386666415783496;0.32819625925925927;0.10292246767725519;0.4857543859649123;0.011862503549361013;0.03750443458557129;0.013483957546905415
SVDD_RBF_0.01_auto_[2, 3];0.478087173231875;0.006688886476133627;0.9694814814814816;0.026819623059803777;0.6403044296357595;0.010590079250818354;0.32522893827160493;0.09428988630210342;0.4842456140350877;0.01275615953305011;0.03786189556121826;0.009632737986183946
SVDD_RBF_0.05_auto_[2, 3];0.4722411354098903;0.009907025793799507;0.922074074074074;0.037496849433267386;0.6244317137668915;0.015147335065339437;0.30462072839506166;0.08312452161097987;0.475;0.017829473352764365;0.024410009384155273;0.0001750373993614101
SVDD_RBF_0.1_auto_[2, 3];0.46405905056455427;0.01356476837093101;0.8722222222222223;0.05298160769982505;0.6055221139855879;0.022431938322713185;0.2976022098765432;0.0822670775082849;0.4626842105263158;0.022803515250658428;0.03130838871002197;0.003961233987567619
SVDD_RBF_0.2_auto_[2, 3];0.44441800859684993;0.021780568657896286;0.7762962962962963;0.06941930409130635;0.5648032819662904;0.03414077952345283;0.29330450617283954;0.07927111240114261;0.43529824561403513;0.033416314072142246;0.04217221736907959;0.0012251454619576418
SVDD_RBF_0.3_auto_[2, 3];0.42007875391841587;0.029264967271244943;0.6781481481481481;0.07510632609493517;0.5183319118145666;0.04219687731186935;0.28432043209876545;0.08102755597636317;0.40538596491228074;0.04198301331731938;0.0691518783569336;0.01204691487425426
SVDD_RBF_0.4_auto_[2, 3];0.38934427062393767;0.039688132821560584;0.5765555555555555;0.09293020671243507;0.46394930606034845;0.05555385144294544;0.2736455802469136;0.07619098095893126;0.373701754385965;0.04993473425824629;0.11689589023590088;0.03991254556113024
SVDD_RBF_0.5_auto_[2, 3];0.3554988030862437;0.04990248907750518;0.47877777777777786;0.10223819655108948;0.4068043853578078;0.06647209612937413;0.26607971604938274;0.07608936561685717;0.34594736842105267;0.05620727644634228;0.12568058967590331;0.016233093238511614
SVDD_RBF_0.6_auto_[2, 3];0.3098037594042907;0.06087721206311282;0.37096296296296294;0.10535708436710581;0.3358860060499693;0.075124808085119;0.25531914814814816;0.07506648772560744;0.3158421052631579;0.060900397519020856;0.10502231121063232;0.027909455664663515
SVDD_RBF_0.7_auto_[2, 3];0.2662093763831682;0.0719424899292431;0.2821111111111111;0.10746231674354627;0.271276921196253;0.08172652207997372;0.2477123209876543;0.07614706414683757;0.297859649122807;0.06554287350398308;0.11345269680023193;0.013931551429056502
SVDD_RBF_0.8_auto_[2, 3];0.20891343819521704;0.0721536662904807;0.18303703703703705;0.08284793613157786;0.19173368024105206;0.07114677822383778;0.23708727160493828;0.07352008427778714;0.28792982456140354;0.06636876191183669;0.11115195751190185;0.0006639911152354808
SVDD_RBF_0.9_auto_[2, 3];0.13974261070968083;0.07184235370593674;0.08503703703703705;0.04575811635786625;0.10244673336901074;0.04823876281901831;0.2275695925925926;0.07016932925958229;0.31080701754385964;0.07076594534970408;0.121878981590271;0.0007570250958946241
SVDD_linear_0.0001_scale_[2, 3];0.3946367923487259;0.13353369502974574;0.752074074074074;0.2632150695524597;0.5173608678250589;0.17666286202422346;0.23868929629629623;0.12137589516814225;0.428280701754386;0.04915636698228309;0.017946696281433104;0.00022651891734012404
SVDD_linear_0.0005_scale_[2, 3];0.4792062338921811;0.005905529732062139;0.9837037037037039;0.013980193710623512;0.6444367484545206;0.007196894636801657;0.3298567160493827;0.10258587978827675;0.4858070175438597;0.011647709172311853;0.017707562446594237;0.00015583828600510094
