Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_;0.0;0.0;0.0;0.0;0.0;0.0;0.5807483209876543;0.05764599596868335;0.5263157894736842;0.0;8.169615459442138;0.09918299301479419
SVDD_RBF_0.0005_scale_;0.8831851376563173;0.047103408236495475;0.013740740740740743;0.0032349684041937236;0.027043741916280412;0.006279019992591622;0.5859789629629629;0.019443701843330958;0.532;0.0016535960235716618;35.84397022724151;0.8006620412086678
SVDD_RBF_0.001_scale_;0.7489519087270111;0.034471712840759366;0.1701111111111111;0.0067688668401025475;0.27702186440094295;0.008230194217041433;0.5956150740740741;0.01824061264716151;0.5795614035087719;0.004463352362529335;67.45159528255462;0.9200396824553421
SVDD_RBF_0.005_scale_;0.7258424711497276;0.033001368391986974;0.195;0.006043395878548411;0.3072002526660541;0.006987786506919748;0.5957697407407407;0.018932058501605533;0.5834561403508772;0.005662645903941525;77.29446752071381;1.7658724062164908
SVDD_RBF_0.01_scale_;0.7232452215294242;0.033154814138357164;0.19729629629629628;0.006311637084672609;0.3098042228424064;0.007372245950839873;0.5959004691358024;0.018668184252096768;0.5836666666666667;0.005857889219902502;77.64234232902527;1.3051955118503213
SVDD_RBF_0.05_scale_;0.72363020394807;0.03305315404759949;0.1971111111111111;0.006520622556053872;0.30959530299962423;0.007368390632858916;0.5962724197530865;0.018811705734514732;0.5836666666666666;0.005729326049155468;79.28130521774293;1.5310436948288213
SVDD_RBF_0.1_scale_;0.7238020301658064;0.033022340213343326;0.19722222222222222;0.006714335747246256;0.30975006910198266;0.007732512642000255;0.5962586543209877;0.018865354167440847;0.5837368421052631;0.005795876310784315;79.50189254283904;1.365170668045439
SVDD_RBF_0.2_scale_;0.723757756136733;0.03322891987186878;0.19725925925925925;0.006712190249269374;0.30979096075937784;0.007738117641333865;0.5963136296296296;0.01885819362557538;0.5837368421052631;0.005848213444502455;78.72930316925049;1.4279143283980131
SVDD_RBF_0.3_scale_;0.7232766014344055;0.03328341844940526;0.19696296296296295;0.006608387238426949;0.30938081951968766;0.00756989156012602;0.5963097160493828;0.018867558782054976;0.5835614035087718;0.005824482138543292;78.62952427864074;1.4178730670050335
SVDD_RBF_0.4_scale_;0.7240134662561367;0.03314089731194091;0.19722222222222222;0.006638314195901822;0.30976929527296415;0.007629355579350731;0.5963211234567901;0.018808886631320337;0.5837719298245614;0.0057917326799615;78.72108190059662;1.3681505391199216
