Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_;0.09336988936988937;0.14011069038553067;0.0015555555555555555;0.0032994159187140874;0.0030479510755959576;0.006442641642197222;0.4939925802469135;0.01081347853369249;0.5249649122807019;0.001688317361299498;1.0935823678970338;0.07588466339914872
SVDD_RBF_0.0005_scale_;0.4565970830584732;0.0027149912329293615;0.7246666666666667;0.03488417047593705;0.5598935236332225;0.010302097342878536;0.4876044444444444;0.007431566529689452;0.461;0.005872372990787992;2.5122870445251464;0.12264053592669615
SVDD_RBF_0.001_scale_;0.4560741131576019;0.002515047359369083;0.7387037037037036;0.032726262091058826;0.5636873793440826;0.00932570752243365;0.48724695061728396;0.007347028106646095;0.4588596491228071;0.005615816603298542;2.4297128200531004;0.23290477961946632
SVDD_RBF_0.005_scale_;0.4563950642336665;0.0023406765693121255;0.7419629629629629;0.032378526813742765;0.5648878227957818;0.009140606868823828;0.48740404938271603;0.007438561052264947;0.4591052631578948;0.0053996625636964736;2.5863269090652468;0.17801430399816498
SVDD_RBF_0.01_scale_;0.45644024159802843;0.002295920606651512;0.7422222222222222;0.03241661244930775;0.5649970698426034;0.0091298217349608;0.48739714814814816;0.007419332359520458;0.4591578947368421;0.00535176869191232;2.6002609491348267;0.19030040267922912
SVDD_RBF_0.05_scale_;0.45643609698324566;0.0023589531443492196;0.7423703703703703;0.03248559879306149;0.565037027805396;0.009199306029708332;0.4874141111111111;0.007405138859424501;0.4591403508771929;0.005383106847832395;2.51479332447052;0.17619357642121328
SVDD_RBF_0.1_scale_;0.456446766905399;0.002371788276612965;0.7423703703703703;0.03248559879306149;0.5650450868282608;0.009198826994176621;0.4874095432098765;0.007410402355459948;0.45915789473684204;0.00540157176491696;2.626555848121643;0.23716543801415663
SVDD_RBF_0.2_scale_;0.45606687500764365;0.0022286455365770614;0.7401111111111112;0.033058973783217344;0.564092496033732;0.009489930208058191;0.4869772345679012;0.007347394220374943;0.4587368421052632;0.005112342110914865;2.821130633354187;0.19651719206614712
SVDD_RBF_0.3_scale_;0.45434601042186007;0.002302286054921908;0.7115555555555556;0.03542406240863495;0.554250623455169;0.010509109506858854;0.48407397530864194;0.0066343606809910975;0.4585438596491228;0.005341550687084231;2.7985355615615846;0.21133441181398832
SVDD_RBF_0.4_scale_;0.4546116478489549;0.0031280003659825747;0.6510370370370371;0.041849491903309374;0.5347974452898157;0.013133370118916745;0.48206588888888896;0.007356068443042717;0.4645789473684211;0.007503954020810961;3.289047122001648;0.3321333078689955
SVDD_RBF_0.5_scale_;0.45432426913472035;0.004148557367961941;0.5831851851851851;0.045531520308065565;0.5099128023155063;0.01667385265784276;0.48082196296296287;0.008006301091037069;0.4705614035087719;0.008417323735814119;3.68184494972229;0.2290572336278651
SVDD_RBF_0.6_scale_;0.45810176749064124;0.0059924286293382995;0.5110370370370372;0.03422422633221106;0.4825050267726363;0.014606332605967748;0.4797039135802469;0.007776531117618519;0.4818070175438597;0.008668175875412262;4.37525703907013;0.24889686960805443
SVDD_RBF_0.7_scale_;0.4666130361137806;0.010498996341487243;0.4132962962962963;0.0476965861955033;0.43654253552097655;0.025251975173781905;0.4790618024691359;0.008552009026068315;0.497578947368421;0.010313581336649669;5.084380698204041;0.4100371041135646
SVDD_RBF_0.8_scale_;0.48368045507453006;0.01631660129992629;0.3131481481481481;0.04703536013342153;0.3775635337185714;0.032700252697616984;0.4787047654320987;0.00868290690224933;0.5152105263157896;0.010629045497462818;5.411630773544312;0.2793644703731895
SVDD_RBF_0.9_scale_;0.5278438318943599;0.03241150269517099;0.2064814814814815;0.03679112808306022;0.29378050151811264;0.03397496545637113;0.47796312345679004;0.008678047635134226;0.5344912280701755;0.009795445578337817;6.136797595024109;0.4782606580492582
SVDD_RBF_0.0001_auto_;0.4651532899684591;0.0034942108160003656;0.7712962962962963;0.09836806250081685;0.5778643317188222;0.030879685108486783;0.5137303580246914;0.014311923110462773;0.47150877192982454;0.00914982503907118;0.7683808088302613;0.07160945048107309
SVDD_RBF_0.0005_auto_;0.46388749967679627;0.0013685343405046273;0.9110370370370371;0.020381007323820085;0.614687292144746;0.005255861741179759;0.5108661234567901;0.010458418549606649;0.459140350877193;0.0026215598748236383;1.0510562419891358;0.09622239379853062
