Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_[2, 3];0.6754293632651176;0.013048342930925565;0.5293703703703703;0.019883784433601167;0.593359038735003;0.014948811413381278;0.7123617407407407;0.01526349539011315;0.6565263157894737;0.010015316064076202;0.6109171152114868;0.184884106871574
SVDD_RBF_0.0005_scale_[2, 3];0.6156140906708895;0.013074089857704259;0.7192222222222222;0.016407407407407412;0.6631878505142492;0.00857292087602693;0.7142307160493827;0.01151158214947925;0.6539473684210526;0.011180339887498968;1.1785173177719117;0.17846538067073062
SVDD_RBF_0.001_scale_[2, 3];0.6127443960297559;0.01264721210351876;0.7262592592592593;0.015605255700787744;0.6644981413591003;0.008203075979497999;0.7138891728395063;0.011563620537404774;0.6525964912280702;0.011052018919249262;1.3389955520629884;0.3590570214536216
SVDD_RBF_0.005_scale_[2, 3];0.6122529906903907;0.012335569416691047;0.7295185185185185;0.01602300301174543;0.6655782738729263;0.008567065162543576;0.7146613703703703;0.011543596893815778;0.6527368421052631;0.011061316554328012;1.382803726196289;0.2695812743946715
SVDD_RBF_0.01_scale_[2, 3];0.6121887086048156;0.012329759221453759;0.7298888888888888;0.01618399860045681;0.6656899290397134;0.008495564769664458;0.7146506049382716;0.011493876637048567;0.6527368421052631;0.011003287233716857;1.4272233247756958;0.4267128045789322
SVDD_RBF_0.05_scale_[2, 3];0.6122244757838305;0.012402454453177343;0.7300000000000001;0.01603494127098024;0.6657598371340374;0.00855009535028549;0.7146917283950616;0.011478513302648524;0.6527894736842105;0.011097777472086236;1.6234798192977906;0.39665405049325725
SVDD_RBF_0.1_scale_[2, 3];0.612882885266498;0.012580624737027871;0.7275185185185185;0.016507927180841216;0.6651000101249185;0.008531104394026988;0.7144556790123457;0.01149452410200862;0.6529473684210527;0.011090383868147891;1.7286418676376343;0.44947090919172283
SVDD_RBF_0.2_scale_[2, 3];0.6259173576940236;0.016238457625012307;0.6806296296296297;0.01863816901702712;0.6519389967916329;0.01350772768994585;0.7134560370370371;0.013938464387938398;0.6557543859649123;0.014602520684513455;1.384352684020996;0.54478911607848
SVDD_RBF_0.3_scale_[2, 3];0.6521891711348762;0.011022171261275087;0.6079259259259259;0.019057490093645862;0.6291244998713509;0.012808898361151956;0.7174601851851852;0.012905214796173535;0.6606491228070176;0.00956906179700899;1.3828914880752563;0.2012462386848681
SVDD_RBF_0.4_scale_[2, 3];0.6810770233152167;0.008386443143419572;0.5376666666666667;0.025088622072086654;0.6005856055083222;0.016091028187859714;0.7224570740740741;0.010353431968901648;0.6616842105263158;0.007702613547570688;1.2384076356887816;0.2421129410381664
SVDD_RBF_0.5_scale_[2, 3];0.711356631077176;0.01089021606096343;0.45496296296296296;0.02727857608648037;0.5543349325420426;0.018985952424252835;0.7233878888888888;0.008702962388437211;0.654157894736842;0.006469879545694482;1.7068656921386718;0.4786248378847796
SVDD_RBF_0.6_scale_[2, 3];0.748595611957953;0.013031431932997401;0.3625555555555556;0.02947340760465107;0.48754287982510885;0.024257505764296475;0.7258158024691358;0.007746267339727024;0.6400526315789474;0.00650072799389424;2.2951482057571413;0.2745705668692195
SVDD_RBF_0.7_scale_[2, 3];0.7927574035445368;0.017896875912761723;0.2701851851851852;0.032756846214751806;0.4015168772318047;0.03389645484652099;0.7243142592592593;0.007659940349331181;0.6203859649122807;0.00843923475720195;2.2913312911987305;0.31117874373414917
SVDD_RBF_0.8_scale_[2, 3];0.8501012897578974;0.018200983488859557;0.18503703703703706;0.023599423396271538;0.30296756026295835;0.031034563509950593;0.7230547160493828;0.008344954339894175;0.5982280701754386;0.007439692901653546;2.862956166267395;0.42858010096642524
SVDD_RBF_0.9_scale_[2, 3];0.9046988710370243;0.008355103341031013;0.092;0.020850371633534873;0.1663014136640003;0.034417167069251256;0.7220792839506174;0.007969938778491758;0.5653157894736842;0.008865483574801845;3.5809900999069213;0.24943469156125045
SVDD_RBF_0.0001_auto_[2, 3];0.0;0.0;0.0;0.0;0.0;0.0;0.6291312222222223;0.07378344673820528;0.5263157894736842;0.0;0.06919612884521484;0.022937991955705023
SVDD_RBF_0.0005_auto_[2, 3];0.0;0.0;0.0;0.0;0.0;0.0;0.6291312222222223;0.07378344673820528;0.5263157894736842;0.0;0.0945288896560669;0.0306289318372995
SVDD_RBF_0.001_auto_[2, 3];0.1;0.30000000000000004;3.7037037037037037e-05;0.00011111111111111113;7.404664938911514e-05;0.00022213994816734547;0.6841268888888888;0.06709595107041551;0.5263333333333333;5.26315789473819e-05;0.09092185497283936;0.02719472240746123
SVDD_RBF_0.005_auto_[2, 3];0.6903957814093707;0.05284789210981381;0.5188148148148148;0.12405016906253873;0.5794721474644119;0.07082076806869755;0.7176238641975308;0.03243951677426207;0.6553157894736842;0.0224071628722602;0.15105800628662108;0.03172093875374487
SVDD_RBF_0.01_auto_[2, 3];0.59624721137909;0.024095211252608786;0.7616296296296297;0.04646375639610098;0.6673846962741864;0.012888715504192568;0.7147921234567901;0.016621730941185905;0.6405964912280702;0.022323236096186704;0.19199180603027344;0.03925487066158501
SVDD_RBF_0.05_auto_[2, 3];0.5404764569148484;0.013375114986978449;0.8842962962962962;0.018471198802058993;0.6706109833350375;0.007246428213797858;0.7127821851851852;0.012540768484828286;0.5882631578947368;0.018633106951582937;0.3148008346557617;0.03752775466300897
SVDD_RBF_0.1_auto_[2, 3];0.5528105803597404;0.009499695116119733;0.8502592592592594;0.011536368210801836;0.669874813139726;0.004960503412409961;0.7101135555555554;0.010959248279818777;0.6029298245614034;0.011670043041309952;0.44547395706176757;0.050416957956478804
SVDD_RBF_0.2_auto_[2, 3];0.5934061545712728;0.01497658727946786;0.7673703703703704;0.017293123668102123;0.6689995247141608;0.00921097928782102;0.7110578024691359;0.01374771661630286;0.6402105263157896;0.01476934594228677;0.6704564094543457;0.028203177751902654
SVDD_RBF_0.3_auto_[2, 3];0.630302406799108;0.013098126195974794;0.6693333333333332;0.01872756087564972;0.6491168267286638;0.013466030352304788;0.7127230246913581;0.012837347163948762;0.6573157894736842;0.012475658047003195;0.8588814258575439;0.09553390811657288
SVDD_RBF_0.4_auto_[2, 3];0.6621534325098989;0.007752197841527138;0.5784814814814814;0.024157377241154878;0.6172200186440981;0.014791101180676666;0.7194011358024691;0.010284260290981652;0.6604912280701754;0.007763351172140546;1.0449427604675292;0.15503726562311293
SVDD_RBF_0.5_auto_[2, 3];0.6970099108827003;0.01043831313038927;0.4866666666666667;0.029461560364221196;0.5724584348366246;0.018885105516426928;0.719743888888889;0.008074642455784129;0.6563859649122807;0.006519237814385759;1.1219467401504517;0.020075196268484023
SVDD_RBF_0.6_auto_[2, 3];0.7362811724468609;0.01373587220340268;0.38533333333333336;0.030959595776507136;0.5048310866406485;0.02361349275512696;0.7212027530864198;0.006493226114993208;0.6430526315789474;0.005651846352290958;1.5046833038330079;0.27353857790696945
SVDD_RBF_0.7_auto_[2, 3];0.7810527137059016;0.017766632499167122;0.2869259259259259;0.03252984279325117;0.4182340854586365;0.03235221750620567;0.7196347407407407;0.006934926115409212;0.6236666666666666;0.008006403254570214;2.522730755805969;0.37058013489909736
SVDD_RBF_0.8_auto_[2, 3];0.8406109361001951;0.01938839343940194;0.19440740740740742;0.027021532845332544;0.31458603477309005;0.03469456516183533;0.7188138518518519;0.007655319728111503;0.6006140350877193;0.008524312088583105;2.7467350721359254;0.5687077713047545
SVDD_RBF_0.9_auto_[2, 3];0.901714921424781;0.009295776494321237;0.09755555555555555;0.02033208523458139;0.17537577580211766;0.03319007599183763;0.7184316790123456;0.007248455321352869;0.5674736842105264;0.008481217819950674;2.655294132232666;0.37608281203553257
SVDD_linear_0.0001_scale_[2, 3];0.5444956051046851;0.015905396771985335;0.8775185185185185;0.021420763487038162;0.6716368632158751;0.009701067896643998;0.7132825061728395;0.015130981845677929;0.5932280701754387;0.022157721103346573;0.12660775184631348;0.05140673285472059
SVDD_linear_0.0005_scale_[2, 3];0.536562298806311;0.01147937157572856;0.8934814814814814;0.01873517703974431;0.6702504746143149;0.007052177359144615;0.712816086419753;0.013198074545852458;0.5834035087719297;0.0164505283514219;0.17883355617523194;0.03127653962103763
SVDD_linear_0.001_scale_[2, 3];0.5364177325201334;0.011358751282463617;0.894148148148148;0.019227752005575912;0.6703250357619981;0.007118811868863164;0.7135523086419753;0.013067742963176672;0.5832456140350877;0.01628713764201744;0.18473517894744873;0.06195852292477729
SVDD_linear_0.005_scale_[2, 3];0.536103748812305;0.011327477109360228;0.8941481481481481;0.019156277377480272;0.6700821940603097;0.007138493236888243;0.713364098765432;0.013140332792160814;0.5827894736842105;0.016222986401426078;0.2317586898803711;0.10422069385540442
SVDD_linear_0.01_scale_[2, 3];0.5361139723680094;0.011347610409916562;0.8942222222222223;0.019226610503162787;0.6701098394082989;0.007162168688351299;0.713321950617284;0.013141406702124919;0.5828070175438597;0.01625909788645287;0.14246459007263185;0.033419800145648
