Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_5_[384, 256, 128];0.6183485994361465;0.06155577109245904;0.5193703703703703;0.19411280713287346;0.5417156861129258;0.12043685738991132;0.6668224567901235;0.06254791308517514;0.6158070175438597;0.04089935774355176;0.025702524185180663;0.0010959323409780828
SVDD_RBF_0.0005_scale_5_[384, 256, 128];0.5161819641458418;0.024208568481317857;0.9211851851851852;0.03351178569580055;0.6606194294481536;0.012504918286089893;0.6697358148148147;0.05180598010585058;0.5505438596491229;0.038332305578578627;0.03122522830963135;0.0015739269429083105
SVDD_RBF_0.001_scale_5_[384, 256, 128];0.5118623183851172;0.022263731157354513;0.9295555555555556;0.028825095757077104;0.6594003358601441;0.012611260130977906;0.6640538765432099;0.05527458889821602;0.5441228070175439;0.03632021754510639;0.032924437522888185;0.002526781509969758
SVDD_RBF_0.005_scale_5_[384, 256, 128];0.5111371565196242;0.02120648750049518;0.9314814814814815;0.027442919935665302;0.6593605993684188;0.012226324709653324;0.665418962962963;0.05252045839142574;0.5431754385964912;0.03498497676959496;0.03484866619110107;0.001599822720713794
SVDD_RBF_0.01_scale_5_[384, 256, 128];0.511115136635485;0.02098393443542726;0.9313703703703705;0.0271797602822142;0.6593261537325192;0.01203235888958442;0.665570012345679;0.052084688133423186;0.5431754385964912;0.03465571334167979;0.034880447387695315;0.0018983151850357335
SVDD_RBF_0.05_scale_5_[384, 256, 128];0.513390966478327;0.021597911207502454;0.9270740740740742;0.0274846010009436;0.6600973012680219;0.012211459683683059;0.6668486913580247;0.05221400849479622;0.5468070175438596;0.035005236384440586;0.03562326431274414;0.002445854027041915
SVDD_RBF_0.1_scale_5_[384, 256, 128];0.5287332152572795;0.013244135297768687;0.8925555555555557;0.02073376205344532;0.6638195696616735;0.009533260721046604;0.6777857160493828;0.02912910453698338;0.5715614035087719;0.01979246742317505;0.043529295921325685;0.0020140821196430766
SVDD_RBF_0.2_scale_5_[384, 256, 128];0.5492390249613235;0.018190957364608934;0.8234444444444444;0.02071496414114682;0.658593115849414;0.01275321698289041;0.6748549753086419;0.02742556220064019;0.5952631578947368;0.023613539787824517;0.06127853393554687;0.002667777051202629
SVDD_RBF_0.3_scale_5_[384, 256, 128];0.5664099144389494;0.01984014521936872;0.7679629629629631;0.027487994635992784;0.6514188888999781;0.013081509767263255;0.6772763333333333;0.02372145941282786;0.6105263157894736;0.02176202469171173;0.07557477951049804;0.0019195722145853298
SVDD_RBF_0.4_scale_5_[384, 256, 128];0.5862409741990268;0.024988485311707987;0.6947777777777777;0.025418014198913846;0.6351936599138963;0.014454246144307407;0.6760936666666668;0.02803158479133645;0.621719298245614;0.023622636008266952;0.09129419326782226;0.00217877429230459
SVDD_RBF_0.5_scale_5_[384, 256, 128];0.5989804686920397;0.030703386755126603;0.6248888888888888;0.036115878127898904;0.6102435714034582;0.017318364471494575;0.6731874444444443;0.027469554733387493;0.6220526315789474;0.02372018710054685;0.11469228267669677;0.0134215380301434
SVDD_RBF_0.6_scale_5_[384, 256, 128];0.6230675012871872;0.030892052778342616;0.533888888888889;0.0326473655921843;0.5739636728219321;0.02128941256774562;0.6758317901234568;0.027660132898714475;0.6249122807017544;0.021227200214158692;0.12442872524261475;0.0018664968345867064
SVDD_RBF_0.7_scale_5_[384, 256, 128];0.6442301456018938;0.03768739458599561;0.43907407407407406;0.03917504944877707;0.5203238810277142;0.025799773730961317;0.674517901234568;0.029837204450830067;0.6176491228070174;0.019258204073342392;0.1410297393798828;0.007378952869330617
SVDD_RBF_0.8_scale_5_[384, 256, 128];0.6781326386520321;0.04179668124084186;0.3181481481481482;0.04540988453155022;0.4302186894746665;0.0397330001364967;0.674546049382716;0.03105526308148437;0.603859649122807;0.01551278030283144;0.1675943613052368;0.014488774033908145
SVDD_RBF_0.9_scale_5_[384, 256, 128];0.7220221401332523;0.05116464509122517;0.20496296296296296;0.06137590220715385;0.3125926053195684;0.06687612986562638;0.6736807283950618;0.030799492375247508;0.5832105263157895;0.013642999122402048;0.18289432525634766;0.016783182467281593
SVDD_RBF_0.0001_auto_5_[384, 256, 128];0.0;0.0;0.0;0.0;0.0;0.0;0.6148244074074073;0.13703643005208752;0.5263157894736842;0.0;0.022467327117919923;0.00041304814058269024
