Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_[2, 3];0.26828226789971504;0.027556576773406536;0.20501072327992217;0.04554869984389367;0.22804830838582388;0.0324262892020144;0.5393508460383253;0.020805285249705707;0.6930121305683159;0.028449754006847967;0.27377614974975584;0.19458588686871206
SVDD_RBF_0.0005_scale_[2, 3];0.24150937905535602;0.00626693711569178;0.64021331895069;0.0464488364376867;0.3502410123391392;0.008819995129714537;0.5477700011777497;0.016649120302764036;0.46698830299370286;0.02978990780493112;0.4798189401626587;0.1475906906361865
SVDD_RBF_0.001_scale_[2, 3];0.24169810260996777;0.006121432473366756;0.6574166450785454;0.04092405886193207;0.3530869557902914;0.008087030576805888;0.5488682842936972;0.017346972440945733;0.459231370799718;0.027780009870855826;0.5048112154006958;0.1605006983035445
SVDD_RBF_0.005_scale_[2, 3];0.24103006613108602;0.006030605903663927;0.6624999893828912;0.03998858715185422;0.3531170459287336;0.007796150915170202;0.5487985524294742;0.017132311164859887;0.45507477916612826;0.027789819140301354;0.7043824911117553;0.12115130569101465
SVDD_RBF_0.01_scale_[2, 3];0.2410013617031585;0.005923849746401731;0.6625649236205191;0.04022376858317774;0.3530949733111003;0.0077291646148175885;0.5486322886333909;0.017106562522907136;0.45498695715207677;0.027665708169976034;0.9129624605178833;0.34737026017529643
SVDD_RBF_0.05_scale_[2, 3];0.24096649405596676;0.005856619107158826;0.6625650085573898;0.040264159985893784;0.3530594268797867;0.007724272755297731;0.5486878360642597;0.01705102978641178;0.4549137721403671;0.02750473019126243;0.9117353677749633;0.4112148703754745
SVDD_RBF_0.1_scale_[2, 3];0.24094680552168465;0.0058857770281136035;0.6621741290785624;0.04046333101283655;0.35297888340609834;0.007751878295417953;0.5486552516883163;0.017083922336211806;0.45504548802460576;0.02764532309974446;0.8936702966690063;0.37031530302415966
SVDD_RBF_0.2_scale_[2, 3];0.24331015652829882;0.0063809750526915765;0.6263316614925957;0.03955292967843958;0.3500903533377552;0.008293612013832082;0.5518954052425072;0.01528938853714606;0.4780093852467585;0.026740119954328716;0.9259201288223267;0.22607708188253534
SVDD_RBF_0.3_scale_[2, 3];0.24696198585025786;0.006484654775618447;0.5760220241305649;0.03802188016276585;0.3453552469980782;0.009803561026337277;0.555829114172839;0.012916504836208898;0.5100034517877321;0.021894639039948996;0.6184659004211426;0.1204724629132258
SVDD_RBF_0.4_scale_[2, 3];0.2518561502730895;0.006449220645236311;0.5163273721806267;0.034378525446917184;0.33817783300842086;0.009183203765080382;0.558375947530471;0.010948458757080549;0.5465641752330865;0.019933979444645315;0.8039430141448974;0.16125726653271416
