;Parametros;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
0;SVDD_RBF_0.001_scale;0.2547536222606921;0.01024311053689571;0.4224190870135772;0.04840660663192151;0.3164586668717673;0.01275389391084692;0.5488491439831155;0.012723147111923615;0.5913937425176279;0.03133168992694666;0.19310379028320312;0.017787304289944957
1;SVDD_RBF_0.01_scale;0.25216035216683497;0.010129385677369507;0.4454885356458813;0.052058828476514864;0.3206414696543153;0.012757649363127559;0.5486673288520172;0.012507359521737387;0.5772847326019102;0.034182379516653816;0.2297366142272949;0.027458964932289224
2;SVDD_RBF_0.05_scale;0.2521398726706;0.009888887166190229;0.446009878158059;0.05201903168529748;0.32075925722811544;0.012430260418926248;0.5485772545591729;0.012473621167946765;0.577021313686062;0.03415872442620964;0.2400437593460083;0.020402025894715597
3;SVDD_RBF_0.1_scale;0.2520656710150628;0.009885824871703934;0.446009878158059;0.05224142818899912;0.3207007751204952;0.012632233444239659;0.5485791473944899;0.01243466887782065;0.5769334938141153;0.034062967642577865;0.22887880802154545;0.02843479616552785
4;SVDD_RBF_0.2_scale;0.25227711242330825;0.010236491032841565;0.4449020465538988;0.05224739724567288;0.3205345743716658;0.012409454132708449;0.5487754527348832;0.012519097021510965;0.5776214029347179;0.03477396184657818;0.2361109256744385;0.02301211503221246
5;SVDD_RBF_0.3_scale;0.2562935389229026;0.011397979853583306;0.42489571875703386;0.0502781771669498;0.3181759790846728;0.013004355705457145;0.5508629693714198;0.01205606722771717;0.5922281994563511;0.033899112179733924;0.2445248603820801;0.020247790476823152
6;SVDD_RBF_0.4_scale;0.26038563092072303;0.010021629816252323;0.3893149416696041;0.04865209754202808;0.3103486562939161;0.013225978977257335;0.5534893970817798;0.010406051849574605;0.6130550943365833;0.029745739089399908;0.2601038455963135;0.023174594034591274
7;SVDD_RBF_0.5_scale;0.2671721592625546;0.013200216464552456;0.33372571336354256;0.0493381944992982;0.2945252103343806;0.017434460646803453;0.5563461553411262;0.009686550543425971;0.6431906364484793;0.028511115555483038;0.2818017244338989;0.0224606084999064
8;SVDD_RBF_0.6_scale;0.27769339901932344;0.01751577423905424;0.26940297873605445;0.043880056585107734;0.2708454183975534;0.019630923139084985;0.558890089646891;0.010269363511543035;0.6766925348674688;0.025642955369654732;0.3029817581176758;0.02093963283310579
9;SVDD_RBF_0.7_scale;0.2894423955204973;0.020064461478631432;0.20651597450195144;0.033180012445262516;0.2388917133319437;0.02133880604317489;0.5608250684732177;0.010657976997353205;0.7066816019928087;0.017710675398406223;0.31801419258117675;0.023862434199947304
10;SVDD_RBF_0.8_scale;0.3144964549956686;0.01898679238425083;0.14173678913147802;0.02867392967370838;0.19336127959298696;0.025184310553050183;0.5640677600815437;0.00968124487117515;0.7371975026656352;0.010947063511713352;0.3379977703094482;0.016510924401039084
11;SVDD_RBF_0.9_scale;0.3651560718505765;0.02891666996312666;0.08438550297491389;0.031288494041578095;0.13321121816478335;0.039930713934357084;0.5674486209727112;0.00906758770001317;0.7599712730888911;0.009046697651347224;0.3586284875869751;0.024400635206089
SVDD_RBF_0.0001_scale_;0.15;0.32015621187164245;0.0003910918210040387;0.0009756489936201064;0.0007798961970337057;0.0019450263576526068;0.5337550501546691;0.03073873481289477;0.7754116482862647;0.00029890673239467457;0.07493889331817627;0.0029537380712016015
SVDD_RBF_0.0005_scale_;0.2573627094090712;0.013458257477402777;0.3361342682051565;0.038661484426729384;0.2900682919256977;0.013431261861801812;0.5479313976887433;0.014486728036605745;0.6314964191718725;0.028064391750660483;0.14513700008392333;0.005013130628366116
SVDD_RBF_0.005_scale_;0.2521261510131042;0.009831369334272207;0.44516276027842305;0.051785670928089306;0.3205424145651604;0.01253377546146552;0.5488019404775588;0.012428137275527197;0.5774164484861488;0.03378450265307142;0.2192659854888916;0.017283653336718656
SVDD_RBF_0.0001_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.5536594694580457;0.04401700580845123;0.7754116397178453;5.6744357096072395e-05;0.043416285514831544;0.0004029860037726509
SVDD_RBF_0.0005_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.5536594694580457;0.04401700580845123;0.7754116397178453;5.6744357096072395e-05;0.043570971488952635;0.0004901601806568774
SVDD_RBF_0.001_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.5536594694580457;0.04401700580845123;0.7754116397178453;5.6744357096072395e-05;0.04340100288391113;0.0005755011350914768
SVDD_RBF_0.005_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.5536594694580457;0.04401700580845123;0.7754116397178453;5.6744357096072395e-05;0.04334366321563721;0.0003497387686819505
SVDD_RBF_0.01_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.5425214145401831;0.033158595085700654;0.7754116397178453;5.6744357096072395e-05;0.04694969654083252;0.002620048350378393
SVDD_RBF_0.05_auto_;0.2416220723594654;0.016309363351236183;0.42352789539175006;0.08238584738178205;0.3039772485574937;0.02402443185157682;0.5299167020918987;0.023490598686906887;0.5689272120488428;0.051829301393327795;0.0828603982925415;0.0049553535800811
SVDD_RBF_0.1_auto_;0.23588012825306462;0.01061291937626282;0.6227410826902904;0.08463863547844486;0.34083155083619415;0.018743582637336883;0.5296219095722412;0.02376913339013222;0.46145631297145584;0.04907721105571221;0.10174293518066406;0.008205706914878114
SVDD_RBF_0.2_auto_;0.24042306432549734;0.009388620775751411;0.616425898950605;0.06884638376319559;0.3446476133818159;0.011118041414117022;0.5401047857099426;0.020047348558646576;0.47434998042973014;0.049393883234063976;0.1312343120574951;0.006588267470725122
SVDD_RBF_0.3_auto_;0.24289595481390197;0.007370297880236166;0.566376041007521;0.05455984764262926;0.3392023835100408;0.011174905055860778;0.5446417297064416;0.013700038964828931;0.5054220464915578;0.03199164689310632;0.16853365898132325;0.019515287958469334
SVDD_RBF_0.4_auto_;0.2485049971279027;0.00896956995277888;0.5078555138893017;0.0526193968456713;0.33247535191333244;0.009384951197909613;0.5481648079928693;0.009791897005460659;0.5428609043932342;0.0371728539546853;0.2066253662109375;0.015056621573119199
